,word,id,next_id
66,large,48.0000229,283.0000038
67,mustache.,2.0004014,48.0000229
68,thin,7.0001326,2.0004014
69,blonde,2.0004456,7.0001326
70,had,689.0000011,2.0004456
71,nearly,28.000035,689.0000011
72,twice,11.0000879,28.000035
73,usual,10.0000994,11.0000879
74,amount,1.0007801,10.0000994
75,came,75.0000142,1.0007801
76,useful,3.0003183,75.0000142
77,as,482.0000018,3.0003183
78,she,171.0000064,482.0000018
79,spent,11.0000886,171.0000064
80,so,172.0000062,11.0000886
81,much,56.0000198,172.0000062
82,her,145.0000075,56.0000198
83,time,83.0000126,145.0000075
84,craning,2.0004981,83.0000126
85,over,149.0000073,2.0004981
86,garden,5.0001868,149.0000073
87,"fences,",1.0011928,5.0001868
88,spying,2.0003584,1.0011928
89,on,544.0000016,2.0003584
90,neighbors.,1.0010448,544.0000016
91,The,260.000004,1.0010448
92,s,1.0007477,260.000004
93,small,26.0000369,1.0007477
94,son,6.0001498,26.0000369
95,Dudley,96.0000108,6.0001498
96,their,204.0000048,96.0000108
97,opinion,3.0002819,204.0000048
98,there,127.0000084,3.0002819
99,no,116.0000091,127.0000084
100,finer,2.0004062,116.0000091
101,boy,49.0000225,2.0004062
102,anywhere.,2.0004153,49.0000225
103,Dursleys,31.000033,2.0004153
104,everything,22.0000437,31.000033
105,"wanted,",3.0003098,22.0000437
106,but,364.0000025,3.0003098
107,also,15.0000645,364.0000025
108,"secret,",3.0003148,15.0000645
109,greatest,5.0001812,3.0003148
110,fear,6.0001633,5.0001812
111,somebody,2.0004005,6.0001633
112,would,103.0000104,2.0004005
113,discover,1.0010995,103.0000104
114,it.,86.0000121,1.0010995
115,think,116.0000092,86.0000121
116,could,173.0000061,116.0000092
117,bear,5.0001966,173.0000061
118,it,550.0000015,5.0001966
119,if,194.0000051,550.0000015
120,anyone,25.0000391,194.0000051
121,found,67.0000166,25.0000391
122,out,318.0000034,67.0000166
123,about,201.0000049,318.0000034
124,Potters.,2.0004693,201.0000049
125,Potter,371.0000024,2.0004693
126,Dursley’s,2.0004514,371.0000024
127,"sister,",5.0001933,2.0004514
128,hadn’t,51.0000215,5.0001933
129,Page,345.0000027,51.0000215
130,|,345.0000026,345.0000027
131,2,1.0009195,345.0000026
132,Harry,1252.0000004,1.0009195
133,Philosophers,345.0000029,1252.0000004
134,Stone,371.0000023,345.0000029
135,-,334.0000032,371.0000023
136,J.K.,334.0000031,334.0000032
137,Rowling,345.0000028,334.0000031
138,met,17.0000549,345.0000028
139,for,330.0000033,17.0000549
140,several,12.0000794,330.0000033
141,years;,1.0005594,12.0000794
142,"fact,",7.0001321,1.0005594
143,pretended,3.0002894,7.0001321
144,sister,6.0001607,3.0002894
145,good-for-nothing,1.0011578,6.0001607
146,husband,1.0010246,1.0011578
147,unDursleyish,1.0006534,1.0010246
148,possible,6.000152,1.0006534
149,be.,8.0001174,6.000152
150,shuddered,1.0006831,8.0001174
151,what,230.0000042,1.0006831
152,neighbors,1.0010449,230.0000042
153,Potters,7.000127,1.0010449
154,arrived,9.0000998,7.000127
155,street.,5.0001711,9.0000998
156,knew,52.0000214,5.0001711
157,"son,",3.0002974,52.0000214
158,"too,",15.0000651,3.0002974
159,never,109.0000098,15.0000651
160,even,89.0000115,109.0000098
161,seen,47.0000237,89.0000115
162,him.,103.0000103,47.0000237
163,This,26.0000373,103.0000103
164,another,44.0000252,26.0000373
165,good,51.0000221,44.0000252
166,reason,15.0000663,51.0000221
167,keeping,10.0000963,15.0000663
168,away;,1.0007771,10.0000963
169,want,67.0000167,1.0007771
170,mixing,2.0004077,67.0000167
171,child,2.0004936,2.0004077
172,like,182.0000056,2.0004936
173,that.,15.0000629,182.0000056
174,When,35.0000303,15.0000629
175,woke,9.0001016,35.0000303
176,up,277.0000039,9.0001016
177,"dull,",2.0003567,277.0000039
178,gray,10.0000939,2.0003567
179,Tuesday,1.0008062,10.0000939
180,our,37.0000286,1.0008062
181,story,9.0001118,37.0000286
182,"starts,",1.0006227,9.0001118
183,nothing,38.0000275,1.0006227
184,cloudy,2.000488,38.0000275
185,sky,8.0001236,2.000488
186,outside,30.0000339,8.0001236
187,suggest,4.000221,30.0000339
188,mysterious,3.0002971,4.000221
189,things,44.0000247,3.0002971
190,soon,6.0001487,44.0000247
191,happening,3.000301,6.0001487
192,all,284.0000036,3.000301
193,country.,1.001121,284.0000036
194,hummed,3.0003095,1.001121
195,picked,16.0000615,3.0003095
196,his,892.0000009,16.0000615
197,most,27.000036,892.0000009
198,boring,2.0004405,27.000036
199,tie,1.0006868,2.0004405
200,"work,",6.0001575,1.0006868
201,gossiped,1.0011603,6.0001575
202,away,37.0000284,1.0011603
203,happily,3.0003082,37.0000284
204,wrestled,1.0005321,3.0003082
205,screaming,2.0003532,1.0005321
206,into,219.0000044,2.0003532
207,high,26.0000382,219.0000044
208,chair.,2.0005001,26.0000382
209,None,1.0009483,2.0005001
210,them,193.0000052,1.0009483
211,noticed,25.0000399,193.0000052
212,"large,",3.0003311,25.0000399
213,tawny,1.0006323,3.0003311
214,owl,29.0000344,1.0006323
215,flutter,2.0003865,29.0000344
216,past,40.0000266,2.0003865
217,window.,13.0000744,40.0000266
218,At,40.0000267,13.0000744
219,half,28.0000352,40.0000267
220,"eight,",1.0011074,28.0000352
221,"briefcase,",1.0008224,1.0011074
222,pecked,1.000595,1.0008224
223,"cheek,",3.0002525,1.000595
224,tried,59.0000186,3.0002525
225,kiss,2.0003767,59.0000186
226,good-bye,4.0002082,2.0003767
227,"missed,",1.0010813,4.0002082
228,now,70.0000157,1.0010813
229,having,13.0000738,70.0000157
230,tantrum,3.000285,13.0000738
231,throwing,10.0000908,3.000285
232,cereal,1.0008362,10.0000908
233,at,580.0000014,1.0008362
234,walls.,5.0001695,580.0000014
235,“Little,2.0004644,5.0001695
236,"tyke,”",1.0006527,2.0004644
237,chortled,2.0005011,1.0006527
238,left,60.0000183,2.0005011
239,house.,9.0001028,60.0000183
240,got,182.0000057,9.0001028
241,car,11.0000844,182.0000057
242,backed,3.0003223,11.0000844
243,four’s,1.001154,3.0003223
244,drive.,1.0011095,1.001154
245,It,196.000005,1.0011095
246,corner,19.0000516,196.000005
247,street,13.0000761,19.0000516
248,first,87.000012,13.0000761
249,sign,16.000061,87.000012
250,something,91.0000112,16.000061
251,peculiar,4.0002399,91.0000112
252,—,883.000001,4.0002399
253,cat,19.000052,883.000001
254,reading,3.0002613,19.000052
255,map.,1.0010669,3.0002613
256,For,18.0000536,1.0010669
257,"second,",11.0000841,18.0000536
258,realize,10.0000988,11.0000841
259,then,81.0000131,10.0000988
260,jerked,10.0000955,81.0000131
261,head,57.0000196,10.0000955
262,around,121.0000088,57.0000196
263,look,89.0000114,121.0000088
264,again.,50.0000222,89.0000114
265,There,61.0000181,50.0000222
266,tabby,3.0002968,61.0000181
267,standing,31.0000331,3.0002968
268,wasn’t,76.000014,31.0000331
269,map,3.0002499,76.000014
270,sight.,10.0000945,3.0002499
271,What,32.0000326,10.0000945
272,been,207.0000047,32.0000326
273,thinking,15.0000643,207.0000047
274,of?,1.0010566,15.0000643
275,must,53.0000206,1.0010566
276,trick,3.0003131,53.0000206
277,light.,2.0003808,3.0003131
278,blinked,4.000222,2.0003808
279,stared,28.0000356,4.000222
280,3,3.0002697,28.0000356
281,cat.,2.0004379,3.0002697
282,back.,20.0000492,2.0004379
283,As,40.0000265,20.0000492
284,drove,3.0002691,40.0000265
285,"road,",2.0004022,3.0002691
286,watched,17.0000566,2.0004022
287,mirror.,9.0001102,17.0000566
288,said,659.0000012,9.0001102
289,Drive,11.0000893,659.0000012
290,"no,",9.0001104,11.0000893
291,looking,93.000011,9.0001104
292,sign;,1.0006784,93.000011
293,cats,3.0002536,1.0006784
294,couldn’t,100.0000106,3.0002536
295,read,34.000031,100.0000106
296,maps,1.0010668,34.000031
297,signs.,1.0006803,1.0010668
298,gave,37.0000283,1.0006803
299,himself,47.0000234,37.0000283
300,little,64.0000176,47.0000234
301,shake,7.0001392,64.0000176
302,put,58.0000188,7.0001392
303,mind.,7.0001261,58.0000188
304,toward,71.0000154,7.0001261
305,town,3.0002992,71.0000154
306,thought,82.0000128,3.0002992
307,except,21.0000477,82.0000128
308,order,2.0003628,21.0000477
309,drills,4.0002213,2.0003628
310,hoping,10.0000961,4.0002213
311,get,182.0000058,10.0000961
312,day.,15.0000669,182.0000058
313,But,57.0000194,15.0000669
314,edge,10.000093,57.0000194
315,"town,",2.0004426,10.000093
316,driven,3.0002713,2.0004426
317,mind,26.000037,3.0002713
318,by,136.000008,26.000037
319,else.,5.0001729,136.000008
320,sat,45.0000244,5.0001729
321,morning,14.0000676,45.0000244
322,traffic,3.0003032,14.0000676
323,"jam,",1.000981,3.0003032
324,help,19.0000502,1.000981
325,noticing,6.0001491,19.0000502
326,seemed,70.0000158,6.0001491
327,lot,38.0000278,70.0000158
328,strangely,5.0001744,38.0000278
329,dressed,7.0001264,5.0001744
330,about.,4.0002373,7.0001264
331,People,10.0000965,4.0002373
332,cloaks.,1.0009783,10.0000965
333,who,147.0000074,1.0009783
334,funny,17.0000554,147.0000074
335,clothes,6.000151,17.0000554
336,getups,1.001169,6.000151
337,saw,57.0000191,1.001169
338,young,9.0001064,57.0000191
339,people!,1.0005931,9.0001064
340,supposed,14.00007,1.0005931
341,this,167.0000066,14.00007
342,some,71.0000156,167.0000066
343,stupid,10.0000936,71.0000156
344,new,33.000032,10.0000936
345,fashion.,1.001175,33.000032
346,drummed,1.0011146,1.001175
347,fingers,9.0001091,1.0011146
348,steering,1.0005861,9.0001091
349,wheel,1.0007017,1.0005861
350,eyes,71.0000155,1.0007017
351,fell,41.000026,71.0000155
352,huddle,2.0003592,41.000026
353,these,24.0000403,2.0003592
354,weirdos,1.0006971,24.0000403
355,quite,34.0000307,1.0006971
356,close,16.000062,34.0000307
357,by.,6.0001636,16.000062
358,whispering,4.0002381,6.0001636
359,excitedly,3.0002966,4.0002381
360,together.,7.0001296,3.0002966
361,enraged,1.0011783,7.0001296
362,see,138.0000079,1.0011783
363,couple,8.0001187,138.0000079
364,weren’t,25.0000385,8.0001187
365,all;,2.0004165,25.0000385
366,"why,",5.0001967,2.0004165
367,older,5.0001701,5.0001967
368,than,93.0000111,5.0001701
369,"was,",13.0000728,93.0000111
370,wearing,17.0000587,13.0000728
371,an,125.0000087,17.0000587
372,emerald-green,2.00034,125.0000087
373,cloak!,1.0008315,2.00034
374,nerve,4.0002312,1.0008315
375,him!,7.0001393,4.0002312
376,struck,5.0001772,7.0001393
377,probably,7.0001256,5.0001772
378,silly,2.0003829,7.0001256
379,stunt,1.0005339,2.0003829
380,obviously,11.000083,1.0005339
381,collecting,2.0005013,11.000083
382,...,156.000007,2.0005013
383,"yes,",16.0000599,156.000007
384,moved,21.0000483,16.0000599
385,few,53.0000209,21.0000483
386,minutes,22.0000454,53.0000209
387,"later,",26.0000381,22.0000454
388,Grunnings,1.0009674,26.0000381
389,parking,3.000279,1.0009674
390,"lot,",4.0002338,3.000279
391,back,211.0000045,4.0002338
392,always,38.0000274,211.0000045
393,window,15.000067,38.0000274
394,office,2.000358,15.000067
395,ninth,1.0010353,2.000358
396,floor.,22.0000449,1.0010353
397,If,29.0000343,22.0000449
398,"hadn’t,",2.0003419,29.0000343
399,might,51.0000219,2.0003419
400,harder,6.0001632,51.0000219
401,concentrate,3.0002987,6.0001632
402,morning.,8.000122,3.0002987
403,owls,15.0000672,8.000122
404,swooping,5.0001968,15.0000672
405,broad,2.0004329,5.0001968
406,"daylight,",4.0002219,2.0004329
407,though,67.0000168,4.0002219
408,down,151.0000072,67.0000168
409,did;,1.001096,151.0000072
410,pointed,21.0000461,1.001096
411,gazed,1.0011645,21.0000461
412,open-mouthed,1.0010604,1.0011645
413,after,48.0000232,1.0010604
414,sped,8.0001182,48.0000232
415,overhead.,3.0002835,8.0001182
416,Most,1.0009453,3.0002835
417,nighttime.,1.0010354,1.0009453
418,"however,",15.0000656,1.0010354
419,owl-free,1.0010494,15.0000656
420,yelled,10.0000911,1.0010494
421,five,25.0000387,10.0000911
422,different,15.0000661,25.0000387
423,people.,5.0001739,15.0000661
424,important,9.0001047,5.0001739
425,telephone,4.0002237,9.0001047
426,4,3.0002756,4.0002237
427,calls,2.0004401,3.0002756
428,shouted,14.0000721,2.0004401
429,bit,58.0000189,14.0000721
430,more.,4.0002296,58.0000189
431,mood,3.0002854,4.0002296
432,until,44.0000249,3.0002854
433,"lunchtime,",2.0003764,44.0000249
434,when,139.0000078,2.0003764
435,he’d,116.000009,139.0000078
436,stretch,1.0005544,116.000009
437,legs,14.0000718,1.0005544
438,walk,9.0001039,14.0000718
439,across,37.0000279,9.0001039
440,road,3.0003132,37.0000279
441,buy,11.0000836,3.0003132
442,bun,1.0008254,11.0000836
443,from,228.0000043,1.0008254
444,bakery.,1.000851,228.0000043
445,He’d,22.000044,1.000851
446,forgotten,15.0000664,22.000044
447,cloaks,3.0002842,15.0000664
448,passed,17.0000583,3.0002842
449,group,2.0003429,17.0000583
450,next,83.0000124,2.0003429
451,baker’s.,1.0008509,83.0000124
452,eyed,4.0002149,1.0008509
453,angrily,4.0002224,4.0002149
454,passed.,3.0002766,4.0002224
455,know,142.0000076,3.0002766
456,him,284.0000037,142.0000076
457,uneasy.,1.000738,284.0000037
458,bunch,2.0004392,1.000738
459,"excitedly,",1.0011735,2.0004392
460,single,8.000114,1.0011735
461,tin.,1.0006919,8.000114
462,way,70.000016,1.0006919
463,"them,",38.0000273,70.000016
464,clutching,7.0001275,38.0000273
465,doughnut,1.0010925,7.0001275
466,"bag,",2.000419,1.0010925
467,caught,32.0000328,2.000419
468,words,12.0000817,32.0000328
469,saying.,8.0001145,12.0000817
470,“The,37.0000281,8.0001145
471,"Potters,",1.0007956,37.0000281
472,that’s,48.0000233,1.0007956
473,"right,",28.0000357,48.0000233
474,I,463.000002,28.0000357
475,heard,68.0000162,463.000002
476,”,114.0000095,68.0000162
477,“,28.0000353,114.0000095
478,stopped,24.0000413,28.0000353
479,dead.,2.0004997,24.0000413
480,Fear,2.0004576,2.0004997
481,flooded,4.0002054,2.0004576
482,looked,167.0000065,4.0002054
483,whisperers,1.0007215,167.0000065
484,wanted,37.0000287,1.0007215
485,better,31.0000334,37.0000287
486,dashed,3.0002711,31.0000334
487,hurried,14.0000725,3.0002711
488,"office,",2.0003581,14.0000725
489,snapped,19.0000511,2.0003581
490,secretary,1.0006505,19.0000511
491,not,188.0000054,1.0006505
492,disturb,2.0003501,188.0000054
493,"him,",67.0000165,2.0003501
494,seized,12.000079,67.0000165
495,"telephone,",1.0006924,12.000079
496,almost,47.0000239,1.0006924
497,finished,9.000109,47.0000239
498,dialing,1.0010953,9.000109
499,home,9.000105,1.0010953
500,changed,11.0000883,9.000105
501,receiver,1.000535,11.0000883
502,stroked,3.000272,1.000535
503,"mustache,",1.0010429,3.000272
504,being,39.0000271,1.0010429
505,stupid.,2.0005007,39.0000271
506,unusual,3.0003194,2.0005007
507,name.,4.000245,3.0003194
508,sure,36.0000296,4.000245
509,lots,7.0001294,36.0000296
510,Harry.,114.0000094,7.0001294
511,Come,8.0001212,114.0000094
512,"it,",77.0000137,8.0001212
513,nephew,2.0003361,77.0000137
514,boy.,8.0001136,2.0003361
515,Harvey.,1.0009706,8.0001136
516,Or,7.0001307,1.0009706
517,Harold.,1.0009708,7.0001307
518,point,11.0000849,1.0009708
519,worrying,2.0004838,11.0000849
520,Dursley;,1.0009625,2.0004838
521,upset,5.0001728,1.0009625
522,mention,8.0001132,5.0001728
523,sister.,2.0003794,8.0001132
524,blame,4.0002212,2.0003794
525,"same,",6.0001666,4.0002212
526,those,20.0000497,6.0001666
527,5,1.0008806,20.0000497
528,afternoon,3.0003237,1.0008806
529,building,3.0002659,3.0003237
530,"o’clock,",2.0003466,3.0002659
531,still,82.0000127,2.0003466
532,worried,5.0001823,82.0000127
533,walked,45.0000245,5.0001823
534,straight,24.0000409,45.0000245
535,someone,20.0000486,24.0000409
536,door.,21.000047,20.0000486
537,"“Sorry,”",5.0001697,21.000047
538,"grunted,",1.0010142,5.0001697
539,tiny,11.000088,1.0010142
540,old,53.0000207,11.000088
541,stumbled,4.0002141,53.0000207
542,fell.,3.0002523,4.0002141
543,seconds,8.0001129,3.0002523
544,before,79.0000136,8.0001129
545,realized,17.0000584,79.0000136
546,violet,3.0003056,17.0000584
547,cloak.,3.0002844,3.0003056
548,seem,16.0000628,3.0002844
549,knocked,17.0000553,16.0000628
550,ground.,14.0000694,17.0000553
551,On,17.000057,14.0000694
552,"contrary,",2.0004889,17.000057
553,face,54.0000203,2.0004889
554,split,6.000153,54.0000203
555,wide,6.0001492,6.000153
556,smile,4.0002035,6.0001492
557,squeaky,1.0005607,4.0002035
558,voice,29.0000345,1.0005607
559,passersby,1.0005882,29.0000345
560,"stare,",1.0006106,1.0005882
561,“Don’t,30.0000336,1.0006106
562,"sorry,",5.0001979,30.0000336
563,my,87.0000118,5.0001979
564,dear,9.0001094,87.0000118
565,"sir,",5.000194,9.0001094
566,me,135.0000082,5.000194
567,today!,1.0006822,135.0000082
568,"Rejoice,",1.0007987,1.0006822
569,You-,5.0001684,1.0007987
570,Know-Who,2.0004789,5.0001684
571,has,29.0000346,2.0004789
572,gone,29.0000341,29.0000346
573,last!,1.0010036,29.0000341
574,Even,13.0000734,1.0010036
575,Muggles,14.0000678,13.0000734
576,yourself,7.0001269,14.0000678
577,should,36.0000292,7.0001269
578,"celebrating,",2.0005029,36.0000292
579,"happy,",1.0010062,2.0005029
580,happy,8.0001133,1.0010062
581,day!”,2.0005052,8.0001133
582,And,68.0000161,2.0005052
583,hugged,3.0003126,68.0000161
584,middle,10.0000993,3.0003126
585,off.,18.0000544,10.0000993
586,stood,34.0000312,18.0000544
587,rooted,2.0003957,34.0000312
588,spot.,3.0002695,2.0003957
589,complete,4.0002039,3.0002695
590,stranger.,3.0002807,4.0002039
591,"Muggle,",1.0009447,3.0002807
592,whatever,7.0001359,1.0009447
593,was.,14.0000719,7.0001359
594,rattled.,1.000563,14.0000719
595,set,21.0000465,1.000563
596,off,172.0000063,21.0000465
597,"home,",4.0002439,172.0000063
598,imagining,5.0001782,4.0002439
599,"things,",1.0006751,5.0001782
600,hoped,3.0002995,1.0006751
601,"before,",7.0001334,3.0002995
602,approve,1.0007754,7.0001334
603,imagination.,1.0009876,1.0007754
604,pulled,51.0000218,1.0009876
605,driveway,1.0011094,51.0000218
606,thing,40.0000264,1.0011094
607,improve,2.0003666,40.0000264
608,spotted,11.0000866,2.0003666
609,sitting,23.0000427,11.0000866
610,wall.,12.0000822,23.0000427
611,same,27.0000362,12.0000822
612,one;,1.0010544,27.0000362
613,markings,3.0002504,1.0010544
614,its,81.0000132,3.0002504
615,eyes.,20.0000484,81.0000132
616,“Shoo!”,1.0005778,20.0000484
617,loudly.,6.0001554,1.0005778
618,move.,6.0001488,6.0001554
619,stern,2.0005049,6.0001488
620,look.,5.0001887,2.0005049
621,Was,6.0001576,5.0001887
622,normal,7.0001426,6.0001576
623,behavior?,1.0008469,7.0001426
624,wondered.,2.0004829,1.0008469
625,Trying,1.0008063,2.0004829
626,pull,12.0000782,1.0008063
627,"together,",5.0001816,12.0000782
628,let,56.0000197,5.0001816
629,6,1.0008795,56.0000197
630,determined,2.000494,1.0008795
631,wife.,1.0007263,2.000494
632,"nice,",2.0003402,1.0007263
633,She,51.0000217,2.0003402
634,told,90.0000113,51.0000217
635,dinner,4.0002052,90.0000113
636,Next,7.0001271,4.0002052
637,Door’s,1.0009643,7.0001271
638,problems,2.0004023,1.0009643
639,daughter,1.0011298,2.0004023
640,how,89.0000116,1.0011298
641,learned,10.0000985,89.0000116
642,word,12.0000821,10.0000985
643,(“Won’t!”).,1.0009037,12.0000821
644,act,1.0007622,1.0009037
645,normally.,1.0010368,1.0007622
646,"bed,",6.0001506,1.0010368
647,went,63.000018,6.0001506
648,living,8.0001224,63.000018
649,room,36.0000294,8.0001224
650,catch,22.0000435,36.0000294
651,report,3.0003078,22.0000435
652,evening,9.0001096,3.0003078
653,news:,1.0010343,9.0001096
654,“And,42.0000256,1.0010343
655,"finally,",4.0002236,42.0000256
656,bird-watchers,1.000863,4.0002236
657,everywhere,2.0003981,1.000863
658,reported,1.0007152,2.0003981
659,nation’s,1.0010466,1.0007152
660,behaving,3.0003017,1.0010466
661,unusually,1.0007298,3.0003017
662,today.,5.0001829,1.0007298
663,Although,4.0002325,5.0001829
664,normally,2.000337,4.0002325
665,hunt,1.001025,2.000337
666,night,27.0000366,1.001025
667,are,126.0000086,27.0000366
668,ever,51.0000216,126.0000086
669,hundreds,10.0000906,51.0000216
670,sightings,1.0006787,10.0000906
671,birds,3.0003045,1.0006787
672,flying,11.0000881,3.0003045
673,every,36.0000291,11.0000881
674,direction,7.0001378,36.0000291
675,since,20.0000495,7.0001378
676,sunrise.,1.0007586,20.0000495
677,Experts,1.0009527,1.0007586
678,unable,2.0004146,1.0009527
679,explain,8.0001165,2.0004146
680,why,35.0000301,8.0001165
681,suddenly,49.0000223,35.0000301
682,sleeping,3.000264,49.0000223
683,pattern.”,1.0005839,3.000264
684,newscaster,1.0010401,1.0005839
685,allowed,14.0000711,1.0010401
686,grin.,2.0003357,14.0000711
687,“Most,2.0004658,2.0003357
688,mysterious.,1.0010419,2.0004658
689,"now,",25.0000397,1.0010419
690,Jim,1.0009363,25.0000397
691,McGuffin,1.0009282,1.0009363
692,weather.,1.0007095,1.0009282
693,Going,1.0009762,1.0007095
694,more,102.0000105,1.0009762
695,showers,1.0006403,102.0000105
696,"tonight,",3.0003278,1.0006403
697,Jim?”,1.0009362,3.0003278
698,"“Well,",32.0000327,1.0009362
699,"Ted,”",1.0008033,32.0000327
700,"weatherman,",1.0007075,1.0008033
701,“I,177.000006,1.0007075
702,don’t,107.0000101,177.000006
703,"that,",16.0000589,107.0000101
704,it’s,84.0000123,16.0000589
705,only,99.0000107,84.0000123
706,acting,3.0003265,99.0000107
707,oddly,2.0003573,3.0003265
708,Viewers,1.0007689,2.0003573
709,far,16.0000605,1.0007689
710,apart,12.000081,16.0000605
711,"Kent,",1.0009348,12.000081
712,"Yorkshire,",1.0007612,1.0009348
713,Dundee,1.0009627,1.0007612
714,phoning,1.0005722,1.0009627
715,tell,65.0000173,1.0005722
716,instead,9.0001031,65.0000173
717,rain,3.000267,9.0001031
718,promised,3.0002553,3.000267
719,"yesterday,",1.0005602,3.0002553
720,they’ve,6.0001648,1.0005602
721,downpour,1.0011019,6.0001648
722,shooting,4.0002131,1.0011019
723,stars!,1.0006015,4.0002131
724,Perhaps,11.0000835,1.0006015
725,celebrating,2.0005027,11.0000835
726,Bonfire,1.0008934,2.0005027
727,Night,1.0009486,1.0008934
728,early,4.0002127,1.0009486
729,"week,",3.0003233,4.0002127
730,folks!,1.0011531,3.0003233
731,can,67.0000164,1.0011531
732,promise,2.0004071,67.0000164
733,wet,2.0004727,2.0004071
734,tonight.”,5.000181,2.0004727
735,frozen,2.0003886,5.000181
736,armchair.,1.0007731,2.0003886
737,Shooting,2.0004732,1.0007731
738,stars,6.0001596,2.0004732
739,Britain?,1.0008851,6.0001596
740,Owls,2.0004721,1.0008851
741,daylight?,1.0011305,2.0004721
742,Mysterious,1.0009503,1.0011305
743,place?,1.000573,1.0009503
744,"whisper,",6.0001526,1.000573
745,whisper,2.0004754,6.0001526
746,.,108.00001,2.0004754
747,7,3.0002736,108.00001
748,carrying,10.0000946,3.0002736
749,two,63.0000179,10.0000946
750,cups,1.0011424,63.0000179
751,tea.,3.0002905,1.0011424
752,good.,2.0003931,3.0002905
753,her.,16.0000593,2.0003931
754,cleared,5.0001849,16.0000593
755,throat,4.0002078,5.0001849
756,nervously.,7.000139,4.0002078
757,“Er,12.0000815,7.000139
758,"Petunia,",5.0001998,12.0000815
759,haven’t,19.0000517,5.0001998
760,your,134.0000083,19.0000517
761,"lately,",2.0003896,134.0000083
762,you?”,24.0000404,2.0003896
763,"expected,",3.0002861,24.0000404
764,shocked,4.0002233,3.0002861
765,angry.,2.0004137,4.0002233
766,After,17.0000576,2.0004137
767,"all,",14.0000689,17.0000576
768,"“No,”",8.0001186,14.0000689
769,sharply.,3.000308,8.0001186
770,“Why?”,5.00017,3.000308
771,“Funny,2.0004499,5.00017
772,stuff,10.0000934,2.0004499
773,"news,”",1.0010412,10.0000934
774,mumbled.,3.0002913,1.0010412
775,“Owls,1.0006173,3.0002913
776,funny-looking,1.0011486,1.0006173
777,today,4.0002178,1.0011486
778,...”,72.0000152,4.0002178
779,“So?”,2.0004594,72.0000152
780,Dursley.,2.0004511,2.0004594
781,maybe,11.00009,2.0004511
782,do,118.0000089,11.00009
783,crowd.”,1.0011376,118.0000089
784,sipped,1.0006874,1.0011376
785,tea,10.000096,1.0006874
786,through,115.0000093,10.000096
787,pursed,1.0005149,115.0000093
788,lips.,3.0002583,1.0005149
789,wondered,12.0000814,3.0002583
790,whether,9.0001041,12.0000814
791,dared,3.0002716,9.0001041
792,name,24.0000406,3.0002716
793,“Potter.”,1.0006187,24.0000406
794,decided,11.0000843,1.0006187
795,dare.,2.0004989,11.0000843
796,Instead,2.0004778,2.0004989
797,"said,",73.000015,2.0004778
798,casually,1.0008372,73.000015
799,"could,",6.0001439,1.0008372
800,“Their,1.0005683,6.0001439
801,Dudley’s,22.0000453,1.0005683
802,age,3.0003263,22.0000453
803,wouldn’t,45.0000242,3.0003263
804,he?”,6.0001556,45.0000242
805,suppose,23.0000423,6.0001556
